timestamp,pair,rate,base
2026-05-01 19:07:00,USD/KWD,0.307958,USD
2026-05-01 19:07:00,USD/PHP,61.435668,USD
2026-05-01 19:07:00,USD/INR,94.978597,USD
2026-05-01 19:07:00,USD/IDR,17308.21837,USD
2026-05-01 19:07:00,USD/NOK,9.291767,USD
2026-05-01 19:07:00,USD/KRW,1475.699372,USD
2026-05-01 19:07:00,USD/CAD,1.361227,USD
2026-05-01 19:07:00,USD/BRL,4.990919,USD
2026-05-01 19:07:00,USD/GBP,0.737561,USD
2026-05-01 19:42:04,USD/KRW,1475.699372,USD
2026-05-01 19:42:04,USD/MXN,17.502106,USD
2026-05-01 19:42:04,USD/AED,3.6725,USD
2026-05-01 19:42:04,USD/INR,94.978597,USD
2026-05-01 19:42:04,USD/BRL,4.990919,USD
2026-05-01 19:42:04,USD/IDR,17308.21837,USD
2026-05-01 19:42:04,USD/GBP,0.737561,USD
2026-05-01 19:42:04,USD/CNY,6.840908,USD
2026-05-01 19:42:04,USD/EUR,0.853339,USD
2026-05-01 19:42:04,USD/PHP,61.435668,USD
2026-05-01 19:42:04,USD/NOK,9.291767,USD
2026-05-01 19:42:04,USD/IRR,1233794.062752,USD
2026-05-01 19:42:04,USD/JPY,157.16387,USD
2026-05-01 19:42:04,USD/KWD,0.307958,USD
2026-05-01 19:42:04,USD/SAR,3.75,USD
2026-05-01 19:42:04,USD/CAD,1.361227,USD
2026-05-01 20:12:02,USD/KWD,0.307958,USD
2026-05-01 20:12:02,USD/CNY,6.840908,USD
2026-05-01 20:12:02,USD/AED,3.6725,USD
2026-05-01 20:12:02,USD/GBP,0.737561,USD
2026-05-01 20:12:02,USD/NOK,9.291767,USD
2026-05-01 20:12:02,USD/EUR,0.853339,USD
2026-05-01 20:12:02,USD/BRL,4.990919,USD
2026-05-01 20:12:02,USD/IDR,17308.21837,USD
2026-05-01 20:12:02,USD/INR,94.978597,USD
2026-05-01 20:12:02,USD/SAR,3.75,USD
2026-05-01 20:12:02,USD/JPY,157.16387,USD
2026-05-01 20:12:02,USD/CAD,1.361227,USD
2026-05-01 20:12:02,USD/PHP,61.435668,USD
2026-05-01 20:12:02,USD/IRR,1233794.062752,USD
2026-05-01 20:12:02,USD/KRW,1475.699372,USD
2026-05-01 20:12:02,USD/MXN,17.502106,USD
2026-05-01 20:37:59,USD/MXN,17.502106,USD
2026-05-01 20:37:59,USD/IDR,17308.21837,USD
2026-05-01 20:37:59,USD/JPY,157.16387,USD
2026-05-01 20:37:59,USD/KRW,1475.699372,USD
2026-05-01 20:37:59,USD/EUR,0.853339,USD
2026-05-01 20:37:59,USD/AED,3.6725,USD
2026-05-01 20:37:59,USD/IRR,1233794.062752,USD
2026-05-01 20:37:59,USD/NOK,9.291767,USD
2026-05-01 20:37:59,USD/GBP,0.737561,USD
2026-05-01 20:37:59,USD/SAR,3.75,USD
2026-05-01 20:37:59,USD/CNY,6.840908,USD
2026-05-01 20:37:59,USD/INR,94.978597,USD
2026-05-01 20:37:59,USD/PHP,61.435668,USD
2026-05-01 20:37:59,USD/BRL,4.990919,USD
2026-05-01 20:37:59,USD/KWD,0.307958,USD
2026-05-01 20:37:59,USD/CAD,1.361227,USD
2026-05-01 21:04:43,USD/NOK,9.291767,USD
2026-05-01 21:04:43,USD/KWD,0.307958,USD
2026-05-01 21:04:43,USD/EUR,0.853339,USD
2026-05-01 21:04:43,USD/SAR,3.75,USD
2026-05-01 21:04:43,USD/CAD,1.361227,USD
2026-05-01 21:04:43,USD/IRR,1233794.062752,USD
2026-05-01 21:04:43,USD/KRW,1475.699372,USD
2026-05-01 21:04:43,USD/INR,94.978597,USD
2026-05-01 21:04:43,USD/AED,3.6725,USD
2026-05-01 21:04:43,USD/JPY,157.16387,USD
2026-05-01 21:04:43,USD/CNY,6.840908,USD
2026-05-01 21:04:43,USD/IDR,17308.21837,USD
2026-05-01 21:04:43,USD/MXN,17.502106,USD
2026-05-01 21:04:43,USD/GBP,0.737561,USD
2026-05-01 21:04:43,USD/BRL,4.990919,USD
2026-05-01 21:04:43,USD/PHP,61.435668,USD
2026-05-01 21:30:36,USD/KWD,0.307958,USD
2026-05-01 21:30:36,USD/CAD,1.361227,USD
